"sexo","idade","ano","previsto","inferior","superior","observado"
"Ambos",35,2018,0.00219091124347063,0.0018586996078336,0.00258250018267383,0.00205825244113301
"Ambos",40,2018,0.00287198361863393,0.00242735824400253,0.00339805215240947,0.00272847662139115
"Ambos",45,2018,0.00403654565008057,0.0035094050844779,0.00464286692273042,0.00383408401072333
"Ambos",50,2018,0.00563416586980983,0.00541615954132148,0.00586094719078102,0.00561687786416938
"Ambos",55,2018,0.00810601762270049,0.00771284817898914,0.00851922923603335,0.00817883990577953
"Ambos",60,2018,0.0117059993361716,0.0108146026929078,0.0126708695963758,0.0123813984622388
"Ambos",65,2018,0.0175928619312222,0.0170938744013558,0.0181064154131434,0.0182768538871936
"Ambos",70,2018,0.0263282652724005,0.0247193915939458,0.0280418532802265,0.0261473913239304
"Ambos",75,2018,0.0420218896098815,0.0413092657724254,0.0427468068813702,0.0426250881213848
"Ambos",80,2018,0.0761539818364613,0.070446911695619,0.0823233951632366,0.0704233050160332
"Ambos",85,2018,0.124519943514787,0.116273410196278,0.133351350981723,0.117121511420011
"Ambos",90,2018,0.194300264919094,0.191443669967349,0.197199484078365,0.198683310698221
"Ambos",0,2019,0.00879455688152712,0.0084794514910077,0.00912137192180863,0.0122142516006901
"Ambos",1,2019,0.000419062070040235,0.000327978050311997,0.000535441375968151,0.000508587059912377
"Ambos",5,2019,0.000220359813592393,0.000216168731578047,0.000224632152356144,0.000222035871097871
"Ambos",10,2019,0.000331242532587422,0.000265401490341171,0.000413417480263142,0.000286485622376721
"Ambos",15,2019,0.00123917099518846,0.0011391287708886,0.00134799927326787,0.00105965218089672
"Ambos",20,2019,0.00172824505358852,0.00155677306956777,0.0019186039530363,0.00152903372806701
"Ambos",25,2019,0.00174615766203083,0.00155182910136717,0.00196482111205591,0.00149028211112217
"Ambos",30,2019,0.00187925067556671,0.00152873138791053,0.00231013972078175,0.00164399084509165
"Ambos",35,2019,0.00216101573266737,0.00177197707753582,0.00263546806335111,0.00200083941999951
"Ambos",40,2019,0.00282095283210494,0.00230561842033869,0.00345147089855046,0.00267096818683157
"Ambos",45,2019,0.00396816754612808,0.00335244292541913,0.00469697889701598,0.00375370134920245
"Ambos",50,2019,0.00551752435632668,0.0052895587498556,0.00575531466088533,0.00553706178159526
"Ambos",55,2019,0.0079406729101204,0.00752003354440407,0.00838484109056149,0.00808833815876149
"Ambos",60,2019,0.0114617088887486,0.0104936150998477,0.0125191146616693,0.0122329184919654
"Ambos",65,2019,0.0172451321458958,0.0167227573840563,0.0177838245152648,0.0182329517186817
"Ambos",70,2019,0.0259552807854212,0.0242495426280387,0.027781002346457,0.0258402760536951
