"SEXO","IDADE","ANO","previsto","inferior","superior","observado"
"Ambos",0,2016,0.011987719479677,0.0116379259257413,0.0121539879131062,0.0124091232661057
"Ambos",1,2016,0.000513626958396098,0.000509926227196712,0.00051618742655467,0.00051606012802238
"Ambos",5,2016,0.000229004647331952,0.000225491775671932,0.000232287603413956,0.000229295321325133
"Ambos",10,2016,0.000263203574799266,0.000260827421197081,0.000265048069717506,0.000313367344695055
"Ambos",15,2016,0.00125625680261532,0.00124860104774542,0.00126126669606055,0.00131539525181774
"Ambos",20,2016,0.00169478702248098,0.00169072556863236,0.0017033867387783,0.00172517101099002
"Ambos",25,2016,0.0016909806635148,0.00168375584179064,0.00169966870552772,0.00166855316511309
"Ambos",30,2016,0.00176566500443045,0.00176154414244018,0.00177210222538723,0.00179273160027578
"Ambos",35,2016,0.00218897775965515,0.00218525651308138,0.00219252012681916,0.0021815195706889
"Ambos",40,2016,0.00287432408549397,0.00286607276043262,0.00288088528150956,0.00288930355316909
"Ambos",45,2016,0.00411712745443402,0.00410541184774671,0.00413173445126684,0.00406083791787735
"Ambos",50,2016,0.00598237924114532,0.00594910634002081,0.00600086541636711,0.00587044792675991
"Ambos",55,2016,0.00870981170401437,0.00869223220451976,0.00873018631688727,0.0085739829208881
"Ambos",60,2016,0.0126670453140452,0.0126086701477672,0.0127463042364423,0.0127050233325653
"Ambos",65,2016,0.0188673702638533,0.0187867701063844,0.0189169316528228,0.0187762112220789
"Ambos",70,2016,0.0273181508875129,0.0271618825349188,0.0276243435144904,0.0270010199312401
"Ambos",75,2016,0.044139927669975,0.0440369965911833,0.0442421114760487,0.0438231805970066
"Ambos",80,2016,0.0722184057959751,0.0712925320568317,0.0725663416280199,0.0717859630185064
"Ambos",85,2016,0.119860810532579,0.119192752529954,0.12064626496025,0.120666463901105
"Ambos",90,2016,0.199289395504116,0.197873986664589,0.199993651706615,0.1983476136475
"Ambos",0,2017,0.0104618613627712,0.00994687137548635,0.0108047150124086,0.012863715851619
"Ambos",1,2017,0.000505713699844989,0.000501917157648463,0.000508474440563578,0.000521083656793392
"Ambos",5,2017,0.000219490599494408,0.000215949670973053,0.000222676702366579,0.000224941561485341
"Ambos",10,2017,0.000234358764784998,0.000232288091040996,0.000236124449337841,0.00030549625760623
"Ambos",15,2017,0.00121829852771102,0.00120824165437382,0.00122618148405542,0.00128021518482542
"Ambos",20,2017,0.00172246168801919,0.00171822855074272,0.00173122476369127,0.00171512945491359
"Ambos",25,2017,0.00168900748012764,0.00168002506767711,0.00169873725576916,0.00163202672975874
"Ambos",30,2017,0.00173462189899747,0.00173045333424074,0.00174135839467055,0.00174428604743515
"Ambos",35,2017,0.00210435000088929,0.00209922759086576,0.00210903260403775,0.0021204861400715
"Ambos",40,2017,0.00281632085990974,0.00280802565621137,0.00282288668270698,0.00280809373275127
