"sexo","RMSE","MAE","sMAPE"
"Ambos",0.000555954959910228,0.000527000018516146,3.38955017002496
"Feminino",0.000412884843809447,0.000389316059696262,2.14468989514351
"Masculino",0.00086470577198802,0.000831635095783741,4.44658982822108
