"SEXO","IDADE","RMSE","MAE","sMAPE"
"Ambos",0,0.00368836492379824,0.00315244049399161,30.7584621762783
"Ambos",1,1.23694887706185e-05,1.11980105290394e-05,2.20669062421652
"Ambos",5,7.69350616368088e-06,6.43430440945253e-06,2.94851618609275
"Ambos",10,6.22718949828632e-05,6.17530507828721e-05,23.0518963108966
"Ambos",15,7.94262577296821e-05,6.49445573865862e-05,5.46091040541756
"Ambos",20,0.000102182569291555,6.98717095670738e-05,4.24539601501909
"Ambos",25,0.000118417465157986,9.81733514006272e-05,6.0754142036034
"Ambos",30,2.27685294618108e-05,1.85534160477815e-05,1.07885680034544
"Ambos",35,2.56240066830809e-05,2.27791340267155e-05,1.11386189729212
"Ambos",40,4.48747655562145e-05,3.67729378956973e-05,1.33851329870968
"Ambos",45,0.000206408270630458,0.000181952705477328,4.59967951728099
"Ambos",50,0.00031223872766996,0.000285639096645927,4.91820089433539
"Ambos",55,0.000407218483178321,0.000370404677990134,4.38633949568588
"Ambos",60,0.00014674588918901,0.000119599240174507,0.962089287316237
"Ambos",65,0.00041943477093691,0.000372533826210541,2.00556395122789
"Ambos",70,0.000977952197081672,0.000886322746929243,3.31609735696854
"Ambos",75,0.00114663705845949,0.00102339066737664,2.36182709241263
"Ambos",80,0.0014405680434136,0.00131232252743486,1.83972324933246
"Ambos",85,0.00190270466423867,0.00179509865086474,1.53442172305666
"Ambos",90,0.00363027025450048,0.00272364230172146,1.38418743396744
"Homens",0,0.00187800710166346,0.00156342863753995,12.677218088881
"Homens",1,1.89246719938867e-05,1.51428023341595e-05,2.78517398938259
"Homens",5,1.48540293661788e-05,1.30807480219602e-05,5.45559441910149
"Homens",10,3.059953991863e-05,2.78651393064766e-05,8.03272699393244
"Homens",15,0.000197214806100179,0.000137498448194342,7.23841595084793
"Homens",20,0.000193353225467061,0.000130901335065702,4.81976407294702
"Homens",25,0.00018120253634797,0.000139670429163508,5.47570015120233
"Homens",30,4.42625634015798e-05,3.98346416015989e-05,1.54501493707166
"Homens",35,6.88136277447663e-05,4.65797892874439e-05,1.60458813502094
"Homens",40,0.000189707629641702,0.000160734529631678,4.22403296678078
"Homens",45,0.00034964427703509,0.000310614831563703,5.84924047422238
"Homens",50,0.000433280565742309,0.000399710696404945,5.16020743862919
"Homens",55,0.000583042728745612,0.000537827244814678,4.81514641979283
"Homens",60,0.000253709816306843,0.000187956205518518,1.15907796683434
"Homens",65,0.000564403826285618,0.000500002583771174,2.10373382063224
"Homens",70,0.00137970364290869,0.00126062255948231,3.68402326216741
"Homens",75,0.00155008287752551,0.00140255790484008,2.63458762679117
"Homens",80,0.0012318882971521,0.00101119043696113,1.21117604013911
"Homens",85,0.00741795405919184,0.0071321584382472,5.18092568808353
"Homens",90,0.0116701039228583,0.0106746443545144,5.07379254176788
"Mulheres",0,0.00223314702726142,0.00191379302654868,18.9919298462008
"Mulheres",1,1.52330922570331e-05,1.25081419195049e-05,2.63393062239968
"Mulheres",5,6.74779883763413e-06,6.40773510683244e-06,3.18078832363301
"Mulheres",10,6.16535582152466e-06,5.33368875372477e-06,2.1978522323644
"Mulheres",15,1.7710957371291e-05,1.61343371375104e-05,3.64902519073624
"Mulheres",20,1.98640957448703e-05,1.87590263478059e-05,3.29687518467955
"Mulheres",25,3.70768854337706e-05,3.54667787393308e-05,5.28045548192533
"Mulheres",30,9.65836361663478e-06,8.93366570157322e-06,1.01348721450363
"Mulheres",35,6.77441655134409e-05,6.23411981684216e-05,4.87011405726243
"Mulheres",40,3.08093025030093e-05,2.6174908510049e-05,1.43330101657147
"Mulheres",45,4.75082167499613e-05,3.70366580239833e-05,1.38451481833117
"Mulheres",50,0.000207620169338392,0.000186618812125952,4.60447200772225
"Mulheres",55,8.07101210309917e-05,6.97405570100399e-05,1.17797974204787
"Mulheres",60,6.56749319177691e-05,5.37934708350262e-05,0.583824607772695
"Mulheres",65,0.000367014067095902,0.000336488245953755,2.36438119608029
"Mulheres",70,0.000530313209335746,0.000469364349966944,2.28160797609975
"Mulheres",75,0.00076943969926291,0.000653342857357003,1.82312472946354
"Mulheres",80,0.0013364797284202,0.0012344226608659,1.96108339918231
"Mulheres",85,0.000331225460165536,0.000272292452865613,0.249601399907689
"Mulheres",90,0.0043976584023448,0.00414596524337951,2.2151721735702
