sexo,idade,ano,previsto,observado
Ambos,0,2016,0.012216141297983601,0.0124091232661057
Ambos,1,2016,5.174236146354767e-4,5.1606012802238e-4
Ambos,5,2016,2.2974866159312333e-4,2.2929532132513e-4
Ambos,10,2016,3.0061907493797e-4,3.1336734469505e-4
Ambos,15,2016,0.00130471720866516,0.00131539525181774
Ambos,20,2016,0.0017103570573179666,0.00172517101099002
Ambos,25,2016,0.0016877307256447534,0.00166855316511309
Ambos,30,2016,0.0017938960689504566,0.00179273160027578
Ambos,35,2016,0.0021900833991366567,0.0021815195706889
Ambos,40,2016,0.0028996037455787734,0.00288930355316909
Ambos,45,2016,0.004096184791735616,0.00406083791787735
Ambos,50,2016,0.005910252842002553,0.00587044792675991
Ambos,55,2016,0.00867765913185065,0.0085739829208881
Ambos,60,2016,0.012709845358829833,0.0127050233325653
Ambos,65,2016,0.018682001984814,0.0187762112220789
Ambos,70,2016,0.027074126894585868,0.0270010199312401
Ambos,75,2016,0.043925938746114564,0.0438231805970066
Ambos,80,2016,0.07174339651996697,0.0717859630185064
Ambos,85,2016,0.121172500864084,0.120666463901105
Ambos,90,2016,0.19678292902189767,0.1983476136475
Ambos,0,2017,0.011390599128440067,0.012863715851619
Ambos,1,2017,5.079464745332033e-4,5.2108365679339e-4
Ambos,5,2017,2.2190913825122333e-4,2.2494156148534e-4
Ambos,10,2017,2.85623841525e-4,3.0549625760623e-4
Ambos,15,2017,0.0012958564174929033,0.00128021518482542
Ambos,20,2017,0.0017197059521066366,0.00171512945491359
Ambos,25,2017,0.0016827120822907298,0.00163202672975874
Ambos,30,2017,0.0017627728319640067,0.00174428604743515
Ambos,35,2017,0.0021306225971556535,0.0021204861400715
Ambos,40,2017,0.00284318132882129,0.00280809373275127
Ambos,45,2017,0.0040286683211140165,0.00396083809869948
Ambos,50,2017,0.00582758533716995,0.00575135191609925
Ambos,55,2017,0.0085943016074819,0.00838941690311158
Ambos,60,2017,0.0126048131609023,0.0125794312033981
Ambos,65,2017,0.018431655643471434,0.0185197840392794
Ambos,70,2017,0.0267983322920701,0.0265915836765864
Ambos,75,2017,0.04353004705262453,0.0432529318596678
Ambos,80,2017,0.0711510780510408,0.0710435754189944
Ambos,85,2017,0.11936427344639566,0.118452282287798
Ambos,90,2017,0.19592548106065333,0.19793032230377
Ambos,0,2018,0.010358762399212663,0.0125961118672796
Ambos,1,2018,5.002443841522067e-4,5.126282722942e-4
Ambos,5,2018,2.1566641175572667e-4,2.2241249852167e-4
Ambos,10,2018,2.7895923722295e-4,2.9502290198903e-4
Ambos,15,2018,0.0012945506145534901,0.00119487559111281
Ambos,20,2018,0.0017108756578380433,0.00165201727527514
Ambos,25,2018,0.00167799475166502,0.00157151250787609
Ambos,30,2018,0.00171673990042781,0.00169393646145791
Ambos,35,2018,0.002071737127819593,0.00205825244113301
Ambos,40,2018,0.0027937617816405267,0.00272847662139115
Ambos,45,2018,0.0039666210782891035,0.00383408401072333
Ambos,50,2018,0.0057478916778447835,0.00561687786416938
Ambos,55,2018,0.008517563862747721,0.00817883990577953
Ambos,60,2018,0.012528897024498867,0.0123813984622388
Ambos,65,2018,0.0181961717338043,0.0182768538871936
Ambos,70,2018,0.026522551161618498,0.0261473913239304
Ambos,75,2018,0.04314933539091577,0.042625088121384803
Ambos,80,2018,0.07057053486057346,0.0704233050160332
Ambos,85,2018,0.11876632484351433,0.117121511420011
Ambos,90,2018,0.195050342536153,0.198683310698221
Ambos,0,2019,0.009515449553932387,0.0122142516006901
Ambos,1,2019,4.9190020037158e-4,5.0858705991237e-4
Ambos,5,2019,2.0991344919071335e-4,2.2203587109787e-4
Ambos,10,2019,2.7409090154902337e-4,2.8648562237672e-4
Ambos,15,2019,0.0012967100066440234,0.00105965218089672
Ambos,20,2019,0.0017211992907647266,0.00152903372806701
