"idade","sexo","sMAPE","MAE","RMSE"
0,"Ambos",22.1385093343441,0.002480663906352,0.00253560996535089
1,"Ambos",14.5746204717955,6.94101646030637e-05,7.19326841319001e-05
5,"Ambos",4.5846306493775,1.06107395113399e-05,1.12740295810366e-05
10,"Ambos",6.32060993838298,1.94257730403747e-05,2.04996610803876e-05
15,"Ambos",6.63879056934685,7.92966039059935e-05,9.42918927801826e-05
20,"Ambos",4.01683832357163,6.5939283571025e-05,9.95356729005477e-05
25,"Ambos",4.51683027728759,7.20587152351107e-05,9.11770185690301e-05
30,"Ambos",7.63884229052265,0.000135638122149131,0.000140852468345854
35,"Ambos",2.46020326477144,5.13609294144194e-05,5.74587501665765e-05
40,"Ambos",2.32612558555169,6.46593293815178e-05,6.88104300340682e-05
45,"Ambos",1.39037780370002,5.3815913447047e-05,6.20040960575871e-05
50,"Ambos",0.220723168413345,1.24591679202186e-05,1.34482446330242e-05
55,"Ambos",0.55265511201221,4.5613507713589e-05,5.56005284416055e-05
60,"Ambos",3.94102583734332,0.000480911641474832,0.000485392799539834
65,"Ambos",3.69120163105168,0.000666167745578214,0.000686781657477995
70,"Ambos",0.125545926348928,3.2996928103636e-05,4.24341936788286e-05
75,"Ambos",0.424578172396252,0.000180976824127113,0.000206950638949314
80,"Ambos",1.93673454861996,0.00138542225167882,0.0013894131897778
85,"Ambos",2.27834599807924,0.00272077448190692,0.00288614475704923
90,"Ambos",2.5294780601051,0.00496087988509722,0.00504827561364539
0,"Homens",20.7553857205789,0.00253267242706303,0.00258936262879711
1,"Homens",11.5174940767748,5.96582563360981e-05,6.53465956423317e-05
5,"Homens",2.88612769147594,7.3887875561005e-06,8.30601507538168e-06
10,"Homens",15.6960116363633,6.02898118304882e-05,6.20880387469924e-05
15,"Homens",9.18795088282623,0.000176989514515734,0.000209802022935995
20,"Homens",4.88392089103625,0.000132694864837685,0.000188074249455649
25,"Homens",4.60453669352084,0.000116424441103109,0.00015923608931074
30,"Homens",9.15015070774225,0.000245688089645167,0.000257230673706658
35,"Homens",7.2332764158808,0.000220773409069309,0.000229076436243322
40,"Homens",3.92570818211266,0.000149326685559316,0.000165743159187069
45,"Homens",4.55040967537663,0.000240375918516313,0.000250777152460473
50,"Homens",1.90335477314939,0.000145166565882856,0.000147810401838418
55,"Homens",0.851293107742966,9.26502754955575e-05,0.000109636320868746
60,"Homens",3.53224312800314,0.000563895081526725,0.000566114844893543
65,"Homens",4.40085334629069,0.00101254573851421,0.00103214613095009
70,"Homens",0.541316964810344,0.000182364564103759,0.000190599949319835
75,"Homens",0.828498461313275,0.000437421816813211,0.000450433046581726
80,"Homens",4.02954530695725,0.00342437601108074,0.0034378109610802
85,"Homens",3.52448333477458,0.00480028208272565,0.00495507099699783
90,"Homens",5.87891914359783,0.0123439235345703,0.0125693486010518
0,"Mulheres",14.0298241205295,0.0014932939446193,0.00155213726311159
1,"Mulheres",17.5976392932172,7.6513097641465e-05,7.76360226547161e-05
5,"Mulheres",6.74709765229873,1.39089140573646e-05,1.45295628514486e-05
10,"Mulheres",1.31605238610117,3.13863617728259e-06,3.32172288033172e-06
15,"Mulheres",10.7330286427157,5.09791300415791e-05,5.23293561096176e-05
20,"Mulheres",1.2424889619059,6.94633547756058e-06,8.58902361312168e-06
25,"Mulheres",1.25208082086802,8.08301714726748e-06,1.06373652484651e-05
30,"Mulheres",4.99097873275019,4.50273460121713e-05,4.53903053299518e-05
35,"Mulheres",6.824752370624,8.28330614408491e-05,8.30146923960776e-05
40,"Mulheres",1.99046066792074,3.59216315947874e-05,3.75264394765905e-05
45,"Mulheres",2.05923784232246,5.46739205051831e-05,5.56444599094612e-05
50,"Mulheres",2.48377646060775,9.74510060347604e-05,9.80756693846576e-05
55,"Mulheres",1.37576665239451,8.18637763975449e-05,8.81224230306982e-05
60,"Mulheres",5.11687572019386,0.000455935939425611,0.000465469614164027
65,"Mulheres",3.06856350111534,0.000423846863808177,0.000453198495468068
70,"Mulheres",0.778352205685391,0.000158008904423769,0.00016136717772819
75,"Mulheres",0.682437287313904,0.00024342323462637,0.000250839210723537
80,"Mulheres",0.339918179397529,0.000211744835325552,0.000239538725435306
85,"Mulheres",2.8205402716162,0.00311618004778656,0.00329646446351923
90,"Mulheres",1.66294377125097,0.00312888966294802,0.00317351330301328
