"idade","sexo","ano","PREVISAO_FINAL","observado"
0,"Ambos",2016,0.0107673046142886,0.0124091232661057
1,"Ambos",2016,0.000475495843917895,0.00051606012802238
5,"Ambos",2016,0.000243974118169926,0.000229295321325133
10,"Ambos",2016,0.000323874379512068,0.000313367344695055
15,"Ambos",2016,0.00124575702930253,0.00131539525181774
20,"Ambos",2016,0.00171739044291754,0.00172517101099002
25,"Ambos",2016,0.00167920613735405,0.00166855316511309
30,"Ambos",2016,0.00187806113690479,0.00179273160027578
35,"Ambos",2016,0.00220136732634057,0.0021815195706889
40,"Ambos",2016,0.00291994311717435,0.00288930355316909
45,"Ambos",2016,0.00407667173956531,0.00406083791787735
50,"Ambos",2016,0.00586114306213606,0.00587044792675991
55,"Ambos",2016,0.00858088044839567,0.0085739829208881
60,"Ambos",2016,0.0123244300200318,0.0127050233325653
65,"Ambos",2016,0.0182860443521458,0.0187762112220789
70,"Ambos",2016,0.0269892981481503,0.0270010199312401
75,"Ambos",2016,0.0438400442757472,0.0438231805970066
80,"Ambos",2016,0.073124568112223,0.0717859630185064
85,"Ambos",2016,0.121801240037194,0.120666463901105
90,"Ambos",2016,0.194362354427559,0.1983476136475
0,"Ambos",2017,0.0103884126553304,0.012863715851619
1,"Ambos",2017,0.000454156319727236,0.000521083656793392
5,"Ambos",2017,0.000238067860547021,0.000224941561485341
10,"Ambos",2017,0.000322225651778676,0.00030549625760623
15,"Ambos",2017,0.00122954764766036,0.00128021518482542
20,"Ambos",2017,0.00171801228958581,0.00171512945491359
25,"Ambos",2017,0.00166739825370561,0.00163202672975874
30,"Ambos",2017,0.00186208607623987,0.00174428604743515
35,"Ambos",2017,0.00215689195260432,0.0021204861400715
40,"Ambos",2017,0.00286338244926472,0.00280809373275127
45,"Ambos",2017,0.00399224006043644,0.00396083809869948
50,"Ambos",2017,0.00574340825087023,0.00575135191609925
55,"Ambos",2017,0.00843021417350223,0.00838941690311158
60,"Ambos",2017,0.0121000955412389,0.0125794312033981
65,"Ambos",2017,0.0179426839319441,0.0185197840392794
70,"Ambos",2017,0.0265668452836679,0.0265915836765864
75,"Ambos",2017,0.043052332745568,0.0432529318596678
80,"Ambos",2017,0.0725154856814724,0.0710435754189944
85,"Ambos",2017,0.121364279321338,0.118452282287798
90,"Ambos",2017,0.19300858755972,0.19793032230377
0,"Ambos",2018,0.00983906039791701,0.0125961118672796
1,"Ambos",2018,0.000434523945811305,0.000512628272294209
5,"Ambos",2018,0.000232330916474181,0.00022241249852167
10,"Ambos",2018,0.000317320934462534,0.000295022901989037
15,"Ambos",2018,0.0012271110609683,0.00119487559111281
20,"Ambos",2018,0.00171719503533394,0.00165201727527514
25,"Ambos",2018,0.00165687252316744,0.00157151250787609
30,"Ambos",2018,0.00184638909392814,0.00169393646145791
35,"Ambos",2018,0.00211947095161863,0.00205825244113301
40,"Ambos",2018,0.00281097949493775,0.00272847662139115
45,"Ambos",2018,0.00391459394875242,0.00383408401072333
50,"Ambos",2018,0.00562854887776171,0.00561687786416938
55,"Ambos",2018,0.00827426998091191,0.00817883990577953
60,"Ambos",2018,0.0118816580094978,0.0123813984622388
65,"Ambos",2018,0.0176151159461262,0.0182768538871936
70,"Ambos",2018,0.0262259000086546,0.0261473913239304
75,"Ambos",2018,0.0428426252085138,0.0426250881213848
80,"Ambos",2018,0.0719189646581169,0.0704233050160332
85,"Ambos",2018,0.120843165589487,0.117121511420011
90,"Ambos",2018,0.194222715241732,0.198683310698221
0,"Ambos",2019,0.00916576929275037,0.0122142516006901
1,"Ambos",2019,0.000416542349153667,0.000508587059912377
5,"Ambos",2019,0.000226755315284248,0.000222035871097871
10,"Ambos",2019,0.000314654253075265,0.000286485622376721
15,"Ambos",2019,0.00122429736698494,0.00105965218089672
20,"Ambos",2019,0.00171694969954761,0.00152903372806701
25,"Ambos",2019,0.00164713246058343,0.00149028211112217
