"idade","sexo","sMAPE","MAE","RMSE"
0,"Ambos",10.8508552618717,0.0012711373667918,0.00141799941323214
1,"Ambos",0.718355842136784,3.72394078433224e-06,5.29965326950937e-06
5,"Ambos",2.42456232630679,5.28590328513726e-06,6.97920460022383e-06
10,"Ambos",5.53233375880273,1.69528953037345e-05,1.74195410210854e-05
15,"Ambos",10.3291087800396,0.000127794979332842,0.000165208715954377
20,"Ambos",4.24539601501916,6.9871709567075e-05,0.000102182569291557
25,"Ambos",6.07541420360342,9.81733514006276e-05,0.000118417465157985
30,"Ambos",2.69107974417116,4.62801279736875e-05,5.12850813618406e-05
35,"Ambos",1.11386189729222,2.27791340267174e-05,2.56240066830831e-05
40,"Ambos",3.004318586115,8.41756989694775e-05,8.55079962223881e-05
45,"Ambos",2.41804453831079,9.48956716695451e-05,9.7324214230035e-05
50,"Ambos",0.185624006192506,1.03392211192425e-05,1.45268314486188e-05
55,"Ambos",2.49812360472611,0.00020873590657984,0.000222839841547787
60,"Ambos",0.817515604547922,0.00010124620487965,0.000104357584641212
65,"Ambos",2.24125739236637,0.0004058799375589,0.000449836853492943
70,"Ambos",0.220537618898556,5.83100811782254e-05,6.55463881778362e-05
75,"Ambos",0.19566564877079,8.39807651115496e-05,0.00010633656438061
80,"Ambos",0.790655743359352,0.000554612299969299,0.000635213647164971
85,"Ambos",1.7129720820296,0.00203933555946925,0.0021827961925712
90,"Ambos",3.02094457179278,0.005911455589391,0.00595245139063097
0,"Homens",12.5951431620215,0.00158390572488528,0.00172048409017062
1,"Homens",4.83870127480077,2.58900132747663e-05,3.24035303556972e-05
5,"Homens",3.25438474940653,7.83958752803523e-06,9.40419414265389e-06
10,"Homens",8.03272699393249,2.78651393064767e-05,3.05995399186302e-05
15,"Homens",7.23841595084797,0.000137498448194343,0.000197214806100178
20,"Homens",4.93544538194341,0.000134205274030575,0.000204214307827813
25,"Homens",5.77285886775397,0.000147651529657105,0.000188865420529582
30,"Homens",3.17305221912955,8.18120196428574e-05,9.41897949013176e-05
35,"Homens",3.54915124595179,0.00010589698171859,0.000112451793074281
40,"Homens",4.22403296678076,0.000160734529631677,0.000189707629641701
45,"Homens",3.92729108800739,0.000206822285797567,0.000214749579638989
50,"Homens",0.74446485221729,5.64895377860727e-05,5.89279323054694e-05
55,"Homens",3.15254803366014,0.000348841014135425,0.000370249037000786
60,"Homens",2.86141693424212,0.000470253323490399,0.000534190765221799
65,"Homens",2.31955469232915,0.000537565978007051,0.000578752796013536
70,"Homens",0.473184655397205,0.000159596065734298,0.00016643316559179
75,"Homens",0.239764511467415,0.000126272995155902,0.000149052647770188
80,"Homens",0.488436485874291,0.000404611951743052,0.00042789471818502
85,"Homens",5.1809256880834,0.00713215843824701,0.00741795405919167
90,"Homens",5.07379254176783,0.0106746443545143,0.0116701039228581
0,"Mulheres",18.9919298462009,0.00191379302654869,0.00223314702726142
1,"Mulheres",9.59849515783005,4.30556087548395e-05,4.568814184894e-05
5,"Mulheres",2.02237339717471,3.96585200151149e-06,5.48098177097951e-06
10,"Mulheres",1.36523292048933,3.255690738429e-06,3.4223937624578e-06
15,"Mulheres",2.64288873093342,1.19680452523168e-05,1.30239564760806e-05
20,"Mulheres",1.28226022155501,7.21289625589753e-06,7.79006063301725e-06
25,"Mulheres",3.1462514907975,2.0890701005194e-05,2.17203980981897e-05
30,"Mulheres",0.84899253408283,7.52778838133952e-06,8.37487226233692e-06
35,"Mulheres",1.22635215487015,1.53080434884426e-05,1.6342672444416e-05
40,"Mulheres",1.28722677319213,2.35591031424775e-05,2.59943837028489e-05
45,"Mulheres",0.774407699599815,2.07201498874576e-05,2.39567440439479e-05
50,"Mulheres",1.18945937946535,4.67481255608051e-05,4.91189763268699e-05
55,"Mulheres",1.41717222285591,8.42210929906599e-05,9.30821252281389e-05
60,"Mulheres",1.18384558422603,0.000107445143477802,0.000113248299980165
65,"Mulheres",2.05864709821284,0.000284704993749125,0.000334112414808746
70,"Mulheres",0.433769777024587,8.79256049971001e-05,9.66905362135463e-05
75,"Mulheres",0.137533679718569,4.90554707713239e-05,5.45451920973866e-05
80,"Mulheres",0.780431895001877,0.000481951906477903,0.00059710846431035
85,"Mulheres",0.249601399908043,0.000272292452865999,0.000331225460165844
90,"Mulheres",0.522326817993852,0.00098886439172774,0.0011174522849746
