"idade","sexo","ano","MODELO","PREVISAO_FINAL","observado"
55,"Homens",2016,"ARIMA",0.0114120962700045,0.0113042803424906
60,"Homens",2016,"ETS",0.0158900860221657,0.0165607458082245
65,"Homens",2016,"ARIMA",0.0232025619202045,0.0239560642409194
70,"Homens",2016,"LC",0.0344742673286638,0.034507055246693
75,"Homens",2016,"ETS",0.0543520347488992,0.0536727922224078
80,"Homens",2016,"ARIMA",0.0857503565545174,0.084518761697297
85,"Homens",2016,"NNAR",0.13940990404396,0.136130545446371
90,"Homens",2016,"NNAR",0.206654346632365,0.213843239645728
0,"Homens",2017,"LC",0.0114327627028783,0.0138348693738661
1,"Homens",2017,"ETS",0.000505110037771024,0.000550063955519368
5,"Homens",2017,"ARIMA",0.000252862763542867,0.000251601177568536
10,"Homens",2017,"NNAR",0.000419111950124864,0.000364126766652861
15,"Homens",2017,"NNAR",0.0019091367667136,0.00208299015362052
20,"Homens",2017,"ARIMA",0.0028611782050714,0.00287377991422719
25,"Homens",2017,"ETS",0.00267966985549568,0.00262423261934667
30,"Homens",2017,"LC",0.00260132520070855,0.00263084755725137
35,"Homens",2017,"LC",0.00303687656228412,0.00301870070986003
40,"Homens",2017,"NNAR",0.00388038266809667,0.00383364674497096
45,"Homens",2017,"LC",0.00545335574868386,0.00529782126541753
50,"Homens",2017,"ARIMA",0.00780467828539476,0.00765941016976272
55,"Homens",2017,"ARIMA",0.0112343618799322,0.0110814293537621
60,"Homens",2017,"ETS",0.015588067197271,0.0164329561480826
65,"Homens",2017,"ARIMA",0.0227602889103922,0.0237002180266519
70,"Homens",2017,"LC",0.0339655743815428,0.0339966389886845
75,"Homens",2017,"ETS",0.053725727204983,0.0530386482350519
80,"Homens",2017,"ARIMA",0.0849358728675118,0.0837252295000329
85,"Homens",2017,"NNAR",0.139676784706138,0.134126472285394
90,"Homens",2017,"NNAR",0.204399877529235,0.215434512173449
0,"Homens",2018,"LC",0.0107505543061519,0.0135786263750232
1,"Homens",2018,"ETS",0.000484593469634947,0.000548496236715638
5,"Homens",2018,"ARIMA",0.000244664732048359,0.000248054140372009
10,"Homens",2018,"NNAR",0.000426135074235953,0.000347598773313543
15,"Homens",2018,"NNAR",0.00192842766938414,0.00191994087257499
20,"Homens",2018,"ARIMA",0.0028611782050714,0.00274528373722183
25,"Homens",2018,"ETS",0.00266230669790876,0.00251330676859386
30,"Homens",2018,"LC",0.00254926729369575,0.00254425755574667
35,"Homens",2018,"LC",0.00296920223517854,0.00292157786050983
40,"Homens",2018,"NNAR",0.00385405672668263,0.00371469870311863
45,"Homens",2018,"LC",0.00534095032211347,0.0051087793614081
50,"Homens",2018,"ARIMA",0.007661949734912,0.00748051327322415
55,"Homens",2018,"ARIMA",0.0110593955626721,0.010786702996587
60,"Homens",2018,"ETS",0.0152917887673914,0.016143986391298
65,"Homens",2018,"ARIMA",0.022326446237535,0.0233861321914028
70,"Homens",2018,"LC",0.0334643875697077,0.033387336665686
75,"Homens",2018,"ETS",0.0531066367071513,0.0522667739342522
80,"Homens",2018,"ARIMA",0.0841291254011245,0.0828584909899789
85,"Homens",2018,"NNAR",0.139468585728956,0.132574546138651
90,"Homens",2018,"NNAR",0.203113114039719,0.216723711732269
0,"Homens",2019,"LC",0.0101090542061565,0.0132675217298844
1,"Homens",2019,"ETS",0.000464910243813625,0.000561001189870819
5,"Homens",2019,"ARIMA",0.000236732487890204,0.000243222707605791
10,"Homens",2019,"NNAR",0.00042166180088809,0.000334704808808973
15,"Homens",2019,"NNAR",0.00209858438136523,0.00166243520131769
20,"Homens",2019,"ARIMA",0.0028611782050714,0.00248868207339464
25,"Homens",2019,"ETS",0.00264505604643552,0.00234412921090513
30,"Homens",2019,"LC",0.00249825117326227,0.00244345690282026
35,"Homens",2019,"LC",0.00290303597547553,0.00281326519263482
40,"Homens",2019,"NNAR",0.00384430274746059,0.00360208140826479
45,"Homens",2019,"LC",0.00523086181387827,0.00497435134113222
50,"Homens",2019,"ARIMA",0.00752183134187301,0.00737330116016342
55,"Homens",2019,"ARIMA",0.0108871542076752,0.0106650953251627
60,"Homens",2019,"ETS",0.0150011416262984,0.0159239497138927
65,"Homens",2019,"ARIMA",0.0219008732077184,0.0233002936618778
70,"Homens",2019,"LC",0.0329705961346601,0.0329968630644726
75,"Homens",2019,"ETS",0.0524946800921807,0.0518617482735885
80,"Homens",2019,"ARIMA",0.083330040674314,0.0822478993861486
85,"Homens",2019,"NNAR",0.139629055811156,0.133128731071637
90,"Homens",2019,"NNAR",0.203647803557178,0.2182456976121
0,"Mulheres",2016,"NNAR",0.0108729895455367,0.0112441653700822
1,"Mulheres",2016,"LC",0.000433381981235415,0.000482658039132429
5,"Mulheres",2016,"ETS",0.000214239745782442,0.000202804625956757
10,"Mulheres",2016,"ARIMA",0.000245458054816811,0.000244120631469099
15,"Mulheres",2016,"LC",0.000450694026164815,0.00046653646507089
20,"Mulheres",2016,"ARIMA",0.000569795397298693,0.000560695295280403
25,"Mulheres",2016,"ETS",0.000666110617397027,0.000670650802859736
30,"Mulheres",2016,"ETS",0.000951314059722603,0.000903234177756624
35,"Mulheres",2016,"LC",0.00122446637910727,0.00129813036448878
40,"Mulheres",2016,"ETS",0.00185704924224437,0.0018801837204144
45,"Mulheres",2016,"ETS",0.0027483170483278,0.00276913102869272
50,"Mulheres",2016,"ARIMA",0.00399875372825118,0.00410540216228509
55,"Mulheres",2016,"ARIMA",0.00616658762499473,0.00613897417303654
60,"Mulheres",2016,"ARIMA",0.00888207799507361,0.00934098078133144
65,"Mulheres",2016,"ETS",0.014120096270126,0.0143617906818095
70,"Mulheres",2016,"ETS",0.0207279944043815,0.0209030466156008
75,"Mulheres",2016,"ARIMA",0.0358961934270359,0.0364720048033259
80,"Mulheres",2016,"ARIMA",0.0628612027381875,0.0633300542074554
85,"Mulheres",2016,"NNAR",0.114783629849944,0.111580109134992
90,"Mulheres",2016,"ARIMA",0.186439253624479,0.190299559143387
0,"Mulheres",2017,"NNAR",0.0112191264879703,0.0118457403996224
1,"Mulheres",2017,"LC",0.000410082733422684,0.000490680211321701
5,"Mulheres",2017,"ETS",0.00020917289988423,0.000196982846615696
10,"Mulheres",2017,"ARIMA",0.000240639499208794,0.000244127193706332
15,"Mulheres",2017,"LC",0.000443571496463148,0.000455357438602881
20,"Mulheres",2017,"ARIMA",0.000562290046212049,0.000557609350752891
25,"Mulheres",2017,"ETS",0.000652753578040743,0.000656820426420847
30,"Mulheres",2017,"ETS",0.000943358232974194,0.000885300082678025
35,"Mulheres",2017,"LC",0.00119615289641518,0.00126506929479191
40,"Mulheres",2017,"ETS",0.0018199379120032,0.00184222125357385
45,"Mulheres",2017,"ETS",0.00269079866073812,0.00272302739757205
50,"Mulheres",2017,"ARIMA",0.00390218774822095,0.00402321274511456
55,"Mulheres",2017,"ARIMA",0.00606862036493271,0.00599354483113515
60,"Mulheres",2017,"ARIMA",0.00865932064861337,0.00922338322135395
65,"Mulheres",2017,"ETS",0.013831727290112,0.0141235800508043
70,"Mulheres",2017,"ETS",0.0203910991575918,0.0205736387689359
75,"Mulheres",2017,"ARIMA",0.0353969005919794,0.035936673507818
80,"Mulheres",2017,"ARIMA",0.0620579174170422,0.0625697982042192
85,"Mulheres",2017,"NNAR",0.114787792162145,0.109264525517984
90,"Mulheres",2017,"ARIMA",0.186439253624479,0.188929447183116
0,"Mulheres",2018,"NNAR",0.0108507492242968,0.0115660615701648
1,"Mulheres",2018,"LC",0.00038803608717657,0.00047500172266825
5,"Mulheres",2018,"ETS",0.000204225886686819,0.000195505270313915
10,"Mulheres",2018,"ARIMA",0.000235915536048211,0.000239960725398453
15,"Mulheres",2018,"LC",0.000436561527448792,0.000446617361625855
20,"Mulheres",2018,"ARIMA",0.000554883555690444,0.000556124308511958
25,"Mulheres",2018,"ETS",0.00063966437783265,0.000644719598209975
30,"Mulheres",2018,"ETS",0.000935468940698396,0.000868724351469502
35,"Mulheres",2018,"LC",0.00116849410977342,0.00123483820321334
40,"Mulheres",2018,"ETS",0.00178356821574832,0.00179901836688201
45,"Mulheres",2018,"ETS",0.0026344840516255,0.00265208163112524
50,"Mulheres",2018,"ARIMA",0.00380795374188375,0.00392767109644891
55,"Mulheres",2018,"ARIMA",0.00597220948979988,0.00586148485455785
60,"Mulheres",2018,"ARIMA",0.00844214992675038,0.00910904821087955
65,"Mulheres",2018,"ETS",0.0135492475524264,0.0139593239896324
70,"Mulheres",2018,"ETS",0.0200596795205062,0.0202665618718869
75,"Mulheres",2018,"ARIMA",0.0349045525973458,0.0354036264134805
80,"Mulheres",2018,"ARIMA",0.0612648970491441,0.06206141626521
85,"Mulheres",2018,"NNAR",0.114786052698189,0.108082008616847
90,"Mulheres",2018,"ARIMA",0.186439253624479,0.189484833941721
0,"Mulheres",2019,"NNAR",0.0103938436610664,0.0111103224066213
1,"Mulheres",2019,"LC",0.000367174700808736,0.000453608731871651
5,"Mulheres",2019,"ETS",0.000199395872104377,0.000199794835854554
10,"Mulheres",2019,"ARIMA",0.000231284308402854,0.000235980942429496
15,"Mulheres",2019,"LC",0.000429662340272253,0.00043494563935497
20,"Mulheres",2019,"ARIMA",0.000547574623541456,0.000563196357972924
25,"Mulheres",2019,"ETS",0.000626837645986052,0.000649037758306511
30,"Mulheres",2019,"ETS",0.000927645626468304,0.000866968182597344
35,"Mulheres",2019,"LC",0.00114147488056683,0.00122439416012776
40,"Mulheres",2019,"ETS",0.00174792533264292,0.00179304912418174
45,"Mulheres",2019,"ETS",0.00257934802760949,0.00262000457348761
50,"Mulheres",2019,"ARIMA",0.0037159953943624,0.00387039092366506
55,"Mulheres",2019,"ARIMA",0.0058773302736414,0.0058013197946986
60,"Mulheres",2019,"ARIMA",0.00823042572019135,0.00902671271826711
65,"Mulheres",2019,"ETS",0.0132725367834696,0.0139665044856012
70,"Mulheres",2019,"ETS",0.0197336464972072,0.0200358084091665
75,"Mulheres",2019,"ARIMA",0.0344190528448963,0.0350597318216265
80,"Mulheres",2019,"ARIMA",0.060482010461593,0.0618696550980123
85,"Mulheres",2019,"NNAR",0.114786790260583,0.108013218777689
90,"Mulheres",2019,"ARIMA",0.186439253624479,0.189993298255459
